"metadataAdvertiserId","distinct.jobid.","visibilitylevel","nps_score"
22526979,1,"jobalert",7
22530945,1,"sponsored",10
22583778,2,"jobalert",1
22594021,1,"jobalert",10
22624010,2,"jobalert",6
22670982,8,"jobalert",8
22676427,17,"jobalert",7
22700622,2,"jobalert",10
22794810,12,"jobalert",2
22828780,8,"organic",10
22849431,1,"sponsored",8
22857563,1,"jobalert",6
22861743,1,"jobalert",8
22891136,2,"jobalert",10
22892864,2,"jobalert",10
22917109,1,"sponsored",10
22928086,3,"jobalert",10
22954572,11,"jobalert",8
22960007,3,"sponsored",5
22983408,11,"sponsored",8
22985680,3,"sponsored",10
22992835,1,"jobalert",10
23047935,1,"sponsored",9
23083121,1,"nowhere",9
23088094,1,"jobalert",9
23102592,1,"sponsored",8
23161014,2,"jobalert",5
23250759,1,"jobalert",6
23257967,1,"jobalert",8
23287971,2,"jobalert",7
23491783,3,"sponsored",8
23544744,2,"jobalert",1
23575395,1,"jobalert",10
23599311,1,"sponsored",2
23718469,1,"jobalert",10
23728482,3,"sponsored",10
23751131,2,"sponsored",10
23755755,1,"jobalert",1
23756011,66,"nowhere",10
23771624,1,"nowhere",10
23788702,1,"jobalert",9
23821743,2,"sponsored",10
23828418,21,"jobalert",8
23871166,1,"sponsored",10
23931139,27,"jobalert",9
23959494,1,"sponsored",10
24044189,3,"sponsored",6
24050867,1,"jobalert",10
24059990,15,"sponsored",6
24061679,5,"jobalert",5
24066550,1,"sponsored",9
24078097,1,"jobalert",6
24181117,1,"jobalert",10
24251102,1,"jobalert",10
24328273,6,"sponsored",19
24336303,1,"jobalert",10
24361077,24,"sponsored",1
24388133,1,"sponsored",8
24395300,1,"jobalert",1
24396597,2,"jobalert",8
24417133,1,"jobalert",1
24422968,53,"nowhere",0
24430449,1,"sponsored",0
24453344,1,"jobalert",8
24477377,8,"sponsored",10
24484728,1,"jobalert",8
24491493,14,"jobalert",9
24493095,2,"sponsored",10
24495001,1,"jobalert",5
24495556,3,"sponsored",4
24516209,2,"sponsored",10
24528956,5,"jobalert",10
24532544,10,"jobalert",10
24575649,3,"jobalert",10
24581494,30,"jobalert",5
24644848,2,"sponsored",10
24655215,1,"jobalert",10
24682480,1,"jobalert",10
24686546,8,"jobalert",10
24695572,1,"nowhere",2
24697557,2,"sponsored",7
24700191,1,"jobalert",10
24704373,1,"nowhere",6
24709947,1,"jobalert",3
24711277,1,"jobalert",0
24720351,5,"jobalert",8
24723086,2,"jobalert",8
24739607,4,"jobalert",10
24739718,1,"jobalert",9
24823001,4,"jobalert",9
24846727,1,"sponsored",4
24890110,1,"jobalert",10
24906046,2,"jobalert",10
24926772,1,"sponsored",9
25073403,3,"sponsored",2
25128998,5,"jobalert",0
25144252,1,"jobalert",7
25194552,2,"jobalert",9
25219376,1,"jobalert",0
25221230,1,"jobalert",7
25241997,1,"sponsored",2
25248229,1,"sponsored",10
25261543,1,"nowhere",10
25267980,2,"jobalert",10
25271801,1,"jobalert",8
25277190,1,"sponsored",10
25293750,1,"jobalert",2
25296622,1,"jobalert",10
25308915,1,"sponsored",10
25334316,1,"jobalert",10
25335177,1,"sponsored",8
25389239,1,"jobalert",8
25415068,1,"sponsored",10
25458361,1,"jobalert",0
25488865,1,"organic",10
25513822,1,"jobalert",0
25516548,1,"sponsored",10
25527124,1,"jobalert",8
25606635,1,"sponsored",2
25624840,3,"jobalert",10
25673667,1,"sponsored",6
25674568,2,"sponsored",9
25692825,1,"sponsored",10
25743066,16,"sponsored",7
25799384,1,"jobalert",0
25800752,1,"sponsored",0
25811135,1,"jobalert",10
25837956,2,"sponsored",1
25857063,9,"jobalert",4
25865663,2,"jobalert",8
25872775,1,"sponsored",8
25903733,6,"jobalert",0
25930816,1,"jobalert",7
25937708,1,"nowhere",10
25939028,3,"jobalert",10
25953790,2,"sponsored",8
25956631,2,"jobalert",10
25973886,1,"jobalert",8
25975738,1,"jobalert",10
25977790,1,"sponsored",6
25978005,1,"sponsored",10
25996178,2,"jobalert",7
25999025,1,"sponsored",1
26000557,2,"jobalert",8
26011837,1,"jobalert",8
26016859,1,"jobalert",0
26017630,8,"nowhere",8
26017851,2,"sponsored",7
26020393,25,"jobalert",10
26020599,3,"jobalert",7
26020794,1,"jobalert",3
26021284,1,"jobalert",6
26023494,7,"jobalert",10
26024507,12,"jobalert",8
26033170,1,"sponsored",9
26033233,3,"sponsored",5
26034466,1,"jobalert",6
26035675,1,"nowhere",2
26036454,1,"sponsored",1
26040928,2,"jobalert",10
26049881,4,"jobalert",10
26051213,1,"jobalert",7
26051853,3,"sponsored",10
26053385,1,"jobalert",10
26054313,1,"jobalert",7
26060134,1,"jobalert",2
26061098,5,"organic",7
26063457,1,"jobalert",10
26067222,1,"sponsored",9
26067604,5,"sponsored",7
26068227,1,"sponsored",5
26068242,1,"sponsored",8
26068919,1,"jobalert",5
26069459,1,"sponsored",4
26070207,1,"jobalert",7
26070631,1,"sponsored",8
26071082,2,"jobalert",10
26071089,9,"jobalert",10
26071133,1,"jobalert",8
26071348,1,"sponsored",10
26071966,5,"jobalert",6
26072637,2,"organic",9
26072768,1,"sponsored",2
26072926,1,"jobalert",10
26073505,2,"jobalert",3
26073743,12,"organic",10
26073940,3,"sponsored",10
26075368,3,"sponsored",10
26075776,3,"jobalert",8
26076207,1,"jobalert",5
26076622,1,"jobalert",4
26077015,1,"jobalert",9
26077318,1,"sponsored",9
26077661,1,"jobalert",9
26077985,1,"jobalert",0
26078132,1,"sponsored",8
26085519,1,"jobalert",10
26086491,2,"jobalert",10
26087141,1,"jobalert",8
26088201,1,"sponsored",10
26088385,3,"jobalert",10
26088671,1,"sponsored",3
26088703,1,"jobalert",9
26088752,2,"jobalert",10
26088759,1,"jobalert",0
26089220,2,"jobalert",10
26089791,1,"sponsored",1
26089888,1,"jobalert",5
26090243,2,"jobalert",5
26090441,1,"nowhere",8
26090603,1,"jobalert",7
26090633,2,"sponsored",0
26090846,44,"jobalert",10
26091483,1,"nowhere",5
26091775,1,"sponsored",6
26103822,1,"jobalert",8
26105605,2,"sponsored",0
26115501,6,"jobalert",10
26118985,1,"sponsored",10
26119473,1,"sponsored",8
26121372,1,"jobalert",10
26122103,12,"jobalert",10
26122912,5,"sponsored",10
26124460,1,"jobalert",5
26124462,3,"sponsored",10
26124549,2,"jobalert",10
26126220,3,"organic",7
26127845,1,"sponsored",10
26128526,1,"jobalert",8
26128538,16,"sponsored",9
26128924,2,"jobalert",8
26151693,1,"jobalert",10
26264718,1,"sponsored",10
26271905,1,"nowhere",8
26297700,1,"sponsored",8
26307976,2,"jobalert",2
26459625,1,"jobalert",10
26987159,1,"jobalert",10
27005933,1,"jobalert",10
27048017,1,"sponsored",10
27152007,1,"jobalert",6
27197490,2,"jobalert",1
27205813,1,"sponsored",10
27234669,1,"jobalert",5
27259741,1,"sponsored",10
27276612,1,"jobalert",8
27291533,1,"jobalert",7
27338760,1,"sponsored",10
27363981,2,"jobalert",10
27370594,1,"jobalert",10
27373031,2,"jobalert",3
27416253,1,"nowhere",3
27419681,1,"sponsored",0
27420890,1,"jobalert",10
27423834,2,"sponsored",9
27435392,1,"jobalert",1
27439296,1,"jobalert",0
27455672,1,"sponsored",0
27458262,1,"jobalert",10
27459059,2,"sponsored",8
27470111,3,"jobalert",10
27497596,1,"sponsored",8
27525369,1,"sponsored",10
27548349,1,"jobalert",7
27549445,4,"sponsored",10
27558337,1,"jobalert",8
27572968,3,"organic",10
27588738,5,"jobalert",6
27589341,1,"organic",8
27591407,2,"sponsored",8
27592393,6,"jobalert",10
27592450,1,"sponsored",10
27593723,1,"jobalert",10
27594369,1,"sponsored",8
27594489,2,"jobalert",10
27596400,1,"sponsored",1
27609542,2,"jobalert",10
27613524,1,"sponsored",5
27613528,1,"jobalert",5
27616937,1,"sponsored",0
27620220,3,"jobalert",10
27626534,1,"jobalert",10
27629467,1,"nowhere",10
27630529,1,"sponsored",8
27631842,1,"jobalert",9
27632389,1,"organic",5
27634038,1,"jobalert",6
27634065,1,"jobalert",4
27634849,1,"jobalert",0
27634856,1,"sponsored",10
27635924,5,"jobalert",8
27639982,7,"jobalert",10
27642796,7,"sponsored",8
27647950,1,"jobalert",3
27648740,1,"sponsored",5
27650165,1,"jobalert",10
27651095,2,"jobalert",8
27652092,83,"sponsored",1
27652204,2,"jobalert",8
27652397,2,"organic",2
27652616,1,"sponsored",6
27656205,1,"sponsored",10
27657813,1,"jobalert",10
27658421,1,"sponsored",0
27659274,1,"jobalert",7
27659834,1,"jobalert",10
27660161,2,"sponsored",10
27660506,1,"jobalert",8
27661373,1,"jobalert",2
27662208,1,"jobalert",9
27663142,1,"sponsored",10
27666766,1,"jobalert",10
27666785,1,"sponsored",10
27667400,1,"jobalert",1
27667694,1,"sponsored",8
27667813,1,"jobalert",10
27667858,1,"sponsored",8
27668029,1,"jobalert",5
27668074,1,"jobalert",0
27668104,1,"jobalert",6
27668425,1,"sponsored",5
27668598,2,"jobalert",3
27668762,11,"jobalert",7
27668862,1,"jobalert",10
27668892,1,"jobalert",3
27669129,1,"nowhere",7
27669143,2,"organic",6
27669264,2,"sponsored",8
27669274,1,"sponsored",8
27669303,2,"jobalert",8
27669521,2,"sponsored",10
27669549,1,"sponsored",8
27669557,5,"jobalert",10
27669560,1,"jobalert",10
27669633,4,"sponsored",0
27669652,3,"jobalert",3
27669669,8,"nowhere",7
27669718,3,"jobalert",10
27669803,1,"sponsored",10
27669971,1,"jobalert",10
27670114,1,"sponsored",9
27670159,1,"jobalert",6
27670194,2,"sponsored",10
27670323,1,"jobalert",7
27670366,1,"sponsored",5
27670480,9,"jobalert",10
27670528,1,"jobalert",3
27671052,3,"sponsored",8
27671256,1,"jobalert",10
27671386,1,"sponsored",9
27671526,1,"jobalert",2
27671558,1,"sponsored",8
27671613,2,"jobalert",10
27671773,1,"sponsored",8
27672461,1,"jobalert",8
27672775,1,"sponsored",8
27672792,1,"sponsored",9
27673483,2,"sponsored",0
27673484,1,"sponsored",6
27673520,1,"sponsored",0
27673638,1,"jobalert",10
27673806,1,"sponsored",3
27673931,3,"jobalert",10
27673994,2,"nowhere",9
27674040,1,"sponsored",10
27674145,2,"jobalert",9
27674247,1,"sponsored",10
27674334,2,"jobalert",5
27674477,1,"jobalert",9
27674548,2,"jobalert",8
27674591,1,"nowhere",0
27675157,1,"sponsored",4
27675368,1,"jobalert",1
27675442,1,"sponsored",1
27675720,1,"sponsored",10
27675949,1,"jobalert",10
27676515,1,"jobalert",10
27677337,1,"jobalert",10
27677419,1,"sponsored",10
27677626,1,"jobalert",10
27677720,1,"jobalert",8
27677744,4,"jobalert",6
27677841,1,"jobalert",8
27678384,1,"sponsored",1
27679300,1,"jobalert",10
27679590,6,"sponsored",8
27679676,1,"jobalert",9
27679709,1,"sponsored",7
27680363,1,"jobalert",10
27680414,1,"organic",0
27682373,1,"sponsored",0
27682667,12,"jobalert",6
27682774,1,"jobalert",9
27683126,1,"jobalert",8
27683257,1,"jobalert",10
27684174,1,"sponsored",10
27686536,1,"jobalert",5
27687834,2,"sponsored",8
27688137,1,"jobalert",10
27688276,1,"jobalert",9
27689079,1,"sponsored",7
27690793,1,"jobalert",8
27691243,12,"sponsored",8
27691283,1,"jobalert",10
27691359,2,"sponsored",9
27691384,1,"jobalert",8
27691434,1,"sponsored",5
27691513,1,"jobalert",10
27691538,1,"jobalert",2
27691548,1,"sponsored",8
27691704,6,"jobalert",8
27691763,2,"jobalert",8
27691962,1,"sponsored",9
27691965,1,"jobalert",5
27692056,1,"organic",4
27692162,1,"jobalert",8
27692213,2,"sponsored",8
27692243,1,"sponsored",1
27692266,1,"jobalert",4
27692341,1,"jobalert",8
27692464,1,"sponsored",2
27692533,1,"jobalert",10
27692568,4,"jobalert",10
27692603,1,"nowhere",8
27692666,1,"sponsored",7
27692692,2,"jobalert",5
27692694,1,"sponsored",3
27693072,1,"sponsored",7
27693135,2,"sponsored",8
27693423,2,"jobalert",3
27693445,1,"sponsored",8
27693505,1,"sponsored",10
27693552,2,"jobalert",10
27693782,1,"sponsored",5
27693864,1,"sponsored",0
27693949,2,"jobalert",8
27699405,3,"jobalert",8
27700191,1,"jobalert",10
27701749,1,"jobalert",10
27701952,1,"jobalert",7
27704471,1,"sponsored",10
27704884,1,"jobalert",7
27704933,1,"sponsored",8
27705666,1,"jobalert",0
27705749,1,"sponsored",10
27707336,1,"jobalert",9
27707627,1,"jobalert",7
27708466,1,"sponsored",0
27709027,2,"jobalert",8
27709085,1,"jobalert",10
27710960,1,"sponsored",9
27711548,1,"sponsored",9
27712898,2,"sponsored",10
27713058,1,"sponsored",10
