metadataAdvertiserId,distinct(jobid),visibilitylevel
23828418,21,jobalert
23871166,1,sponsored
23931139,27,jobalert
23959494,1,sponsored
24044189,3,sponsored
24050867,1,jobalert
24059990,15,sponsored
24061679,5,jobalert
24066550,1,sponsored
24078097,1,jobalert
24181117,1,jobalert
24251102,1,jobalert
24328273,6,sponsored
24336303,1,jobalert
24361077,24,sponsored
24388133,1,sponsored
24395300,1,jobalert
24396597,2,jobalert
24417133,1,jobalert
24422968,53,nowhere
24430449,1,sponsored
24453344,1,jobalert
24477377,8,sponsored
24484728,1,jobalert
24491493,14,jobalert
24493095,2,sponsored
24495001,1,jobalert
24495556,3,sponsored
24516209,2,sponsored
24528956,5,jobalert
24532544,10,jobalert
24575649,3,jobalert
24581494,30,jobalert
24644848,2,sponsored
24655215,1,jobalert
24682480,1,jobalert
24686546,8,jobalert
24695572,1,nowhere
24697557,2,sponsored
24700191,1,jobalert
24704373,1,nowhere
24709947,1,jobalert
24711277,1,jobalert
24720351,5,jobalert
24723086,2,jobalert
24739607,4,jobalert
24739718,1,jobalert
24823001,4,jobalert
24846727,1,sponsored
24890110,1,jobalert
24906046,2,jobalert
24926772,1,sponsored
25073403,3,sponsored
25128998,5,jobalert
25144252,1,jobalert
25194552,2,jobalert
25219376,1,jobalert
25221230,1,jobalert
25241997,1,sponsored
25248229,1,sponsored
25261543,1,nowhere
25267980,2,jobalert
25271801,1,jobalert
25277190,1,sponsored
25293750,1,jobalert
25296622,1,jobalert
25308915,1,sponsored
25334316,1,jobalert
25335177,1,sponsored
25389239,1,jobalert
25415068,1,sponsored
25458361,1,jobalert
25488865,1,organic
25513822,1,jobalert
25516548,1,sponsored
25527124,1,jobalert
25606635,1,sponsored
25624840,3,jobalert
25673667,1,sponsored
25674568,2,sponsored
25692825,1,sponsored
25743066,16,sponsored
25799384,1,jobalert
25800752,1,sponsored
25811135,1,jobalert
25837956,2,sponsored
25857063,9,jobalert
25865663,2,jobalert
25872775,1,sponsored
25903733,6,jobalert
25930816,1,jobalert
25937708,1,nowhere
25939028,3,jobalert
25953790,2,sponsored
25956631,2,jobalert
25973886,1,jobalert
25975738,1,jobalert
25977790,1,sponsored
25978005,1,sponsored
25996178,2,jobalert
25999025,1,sponsored
26000557,2,jobalert
26011837,1,jobalert
26016859,1,jobalert
26017630,8,nowhere
26017851,2,sponsored
26020393,25,jobalert
26020599,3,jobalert
26020794,1,jobalert
26021284,1,jobalert
26023494,7,jobalert
26024507,12,jobalert
26033170,1,sponsored
26033233,3,sponsored
26034466,1,jobalert
26035675,1,nowhere
26036454,1,sponsored
26040928,2,jobalert
26049881,4,jobalert
26051213,1,jobalert
26051853,3,sponsored
26053385,1,jobalert
26054313,1,jobalert
26060134,1,jobalert
26061098,5,organic
26063457,1,jobalert
26067222,1,sponsored
26067604,5,sponsored
26068227,1,sponsored
26068242,1,sponsored
26068919,1,jobalert
26069459,1,sponsored
26070207,1,jobalert
26070631,1,sponsored
26071082,2,jobalert
26071089,9,jobalert
26071133,1,jobalert
26071348,1,sponsored
26071966,5,jobalert
26072637,2,organic
26072768,1,sponsored
26072926,1,jobalert
26073505,2,jobalert
26073743,12,organic
26073940,3,sponsored
26075368,3,sponsored
26075776,3,jobalert
26076207,1,jobalert
26076622,1,jobalert
26077015,1,jobalert
26077318,1,sponsored
26077661,1,jobalert
26077985,1,jobalert
26078132,1,sponsored
26085519,1,jobalert
26086491,2,jobalert
26087141,1,jobalert
26088201,1,sponsored
26088385,3,jobalert
26088671,1,sponsored
26088703,1,jobalert
26088752,2,jobalert
26088759,1,jobalert
26089220,2,jobalert
26089791,1,sponsored
26089888,1,jobalert
26090243,2,jobalert
26090441,1,nowhere
26090603,1,jobalert
26090633,2,sponsored
26090846,44,jobalert
26091483,1,nowhere
26091775,1,sponsored
26103822,1,jobalert
26105605,2,sponsored
26115501,6,jobalert
26118985,1,sponsored
26119473,1,sponsored
26121372,1,jobalert
26122103,12,jobalert
26122912,5,sponsored
26124460,1,jobalert
26124462,3,sponsored
26124549,2,jobalert
26126220,3,organic
26127845,1,sponsored
26128526,1,jobalert
26128538,16,sponsored
26128924,2,jobalert
26151693,1,jobalert
26264718,1,sponsored
26271905,1,nowhere
26297700,1,sponsored
26307976,2,jobalert
26459625,1,jobalert
26987159,1,jobalert
27005933,1,jobalert
27048017,1,sponsored
27152007,1,jobalert
27197490,2,jobalert
27205813,1,sponsored
27234669,1,jobalert
27259741,1,sponsored
27276612,1,jobalert
27291533,1,jobalert
27338760,1,sponsored
27363981,2,jobalert
27370594,1,jobalert
27373031,2,jobalert
27416253,1,nowhere
27419681,1,sponsored
27420890,1,jobalert
27423834,2,sponsored
27435392,1,jobalert
27439296,1,jobalert
27455672,1,sponsored
27458262,1,jobalert
27459059,2,sponsored
27470111,3,jobalert
27497596,1,sponsored
27525369,1,sponsored
27548349,1,jobalert
27549445,4,sponsored
27558337,1,jobalert
27572968,3,organic
27588738,5,jobalert
27589341,1,organic
27591407,2,sponsored
27592393,6,jobalert
27592450,1,sponsored
27593723,1,jobalert
27594369,1,sponsored
27594489,2,jobalert
27596400,1,sponsored
27609542,2,jobalert
27613524,1,sponsored
27613528,1,jobalert
27616937,1,sponsored
27620220,3,jobalert
27626534,1,jobalert
27629467,1,nowhere
27630529,1,sponsored
27631842,1,jobalert
27632389,1,organic
27634038,1,jobalert
27634065,1,jobalert
27634849,1,jobalert
27634856,1,sponsored
27635924,5,jobalert
27639982,7,jobalert
27642796,7,sponsored
27647950,1,jobalert
27648740,1,sponsored
27650165,1,jobalert
27651095,2,jobalert
27652092,83,sponsored
27652204,2,jobalert
27652397,2,organic
27652616,1,sponsored
27656205,1,sponsored
27657813,1,jobalert
27658421,1,sponsored
27659274,1,jobalert
27659834,1,jobalert
27660161,2,sponsored
27660506,1,jobalert
27661373,1,jobalert
27662208,1,jobalert
27663142,1,sponsored
27666766,1,jobalert
27666785,1,sponsored
27667400,1,jobalert
27667694,1,sponsored
27667813,1,jobalert
27667858,1,sponsored
27668029,1,jobalert
27668074,1,jobalert
27668104,1,jobalert
27668425,1,sponsored
27668598,2,jobalert
27668762,11,jobalert
27668862,1,jobalert
27668892,1,jobalert
27669129,1,nowhere
27669143,2,organic
27669264,2,sponsored
27669274,1,sponsored
27669303,2,jobalert
27669521,2,sponsored
27669549,1,sponsored
27669557,5,jobalert
27669560,1,jobalert
27669633,4,sponsored
27669652,3,jobalert
27669669,8,nowhere
27669718,3,jobalert
27669803,1,sponsored
27669971,1,jobalert
27670114,1,sponsored
27670159,1,jobalert
27670194,2,sponsored
27670323,1,jobalert
27670366,1,sponsored
27670480,9,jobalert
27670528,1,jobalert
27671052,3,sponsored
27671256,1,jobalert
27671386,1,sponsored
27671526,1,jobalert
27671558,1,sponsored
27671613,2,jobalert
27671773,1,sponsored
27672461,1,jobalert
27672775,1,sponsored
27672792,1,sponsored
27673483,2,sponsored
27673484,1,sponsored
27673520,1,sponsored
27673638,1,jobalert
27673806,1,sponsored
27673931,3,jobalert
27673994,2,nowhere
27674040,1,sponsored
27674145,2,jobalert
27674247,1,sponsored
27674334,2,jobalert
27674477,1,jobalert
27674548,2,jobalert
27674591,1,nowhere
27675157,1,sponsored
27675368,1,jobalert
27675442,1,sponsored
27675720,1,sponsored
27675949,1,jobalert
27676515,1,jobalert
27677337,1,jobalert
27677419,1,sponsored
27677626,1,jobalert
27677720,1,jobalert
27677744,4,jobalert
27677841,1,jobalert
27678384,1,sponsored
27679300,1,jobalert
27679590,6,sponsored
27679676,1,jobalert
27679709,1,sponsored
27680363,1,jobalert
27680414,1,organic
27682373,1,sponsored
27682667,12,jobalert
27682774,1,jobalert
27683126,1,jobalert
27683257,1,jobalert
27684174,1,sponsored
27686536,1,jobalert
27687834,2,sponsored
27688137,1,jobalert
27688276,1,jobalert
27689079,1,sponsored
27690793,1,jobalert
27691243,12,sponsored
27691283,1,jobalert
27691359,2,sponsored
27691384,1,jobalert
27691434,1,sponsored
27691513,1,jobalert
27691538,1,jobalert
27691548,1,sponsored
27691704,6,jobalert
27691763,2,jobalert
27691962,1,sponsored
27691965,1,jobalert
27692056,1,organic
27692162,1,jobalert
27692213,2,sponsored
27692243,1,sponsored
27692266,1,jobalert
27692341,1,jobalert
27692464,1,sponsored
27692533,1,jobalert
27692568,4,jobalert
27692603,1,nowhere
27692666,1,sponsored
27692692,2,jobalert
27692694,1,sponsored
27693072,1,sponsored
27693135,2,sponsored
27693423,2,jobalert
27693445,1,sponsored
27693505,1,sponsored
27693552,2,jobalert
27693782,1,sponsored
27693864,1,sponsored
27693949,2,jobalert
27699405,3,jobalert
27700191,1,jobalert
27701749,1,jobalert
27701952,1,jobalert
27704471,1,sponsored
27704884,1,jobalert
27704933,1,sponsored
27705666,1,jobalert
27705749,1,sponsored
27707336,1,jobalert
27707627,1,jobalert
27708466,1,sponsored
27709027,2,jobalert
27709085,1,jobalert
27710960,1,sponsored
27711548,1,sponsored
27712898,2,sponsored
27713058,1,sponsored
27713765,1,jobalert
27714436,1,sponsored
27715974,1,jobalert
27717868,1,sponsored
27718467,1,jobalert
27719391,1,jobalert
27720795,1,sponsored
27720824,1,jobalert
27720977,1,jobalert
27723225,1,sponsored
27723970,1,jobalert
27726194,1,sponsored
27726360,1,jobalert
27726415,3,sponsored
27726660,1,jobalert
27726896,7,sponsored
27727956,1,jobalert
27728848,1,sponsored
27729637,3,jobalert
27729757,1,sponsored
27729898,2,jobalert
27730013,2,sponsored
27730408,1,jobalert
27730974,2,jobalert
27731060,1,jobalert
27731169,1,jobalert
27731186,1,jobalert
27731350,1,nowhere
27731450,1,sponsored
27731893,1,jobalert
27732031,1,jobalert
27732146,1,sponsored
27732337,1,sponsored
27733011,2,jobalert
27733176,1,jobalert
27733181,1,jobalert
27733268,1,sponsored
27733447,7,jobalert
27733849,1,sponsored
27734030,1,jobalert
27734063,1,sponsored
27734124,5,jobalert
27735844,1,sponsored
27735926,1,jobalert
27736081,7,sponsored
27736591,1,jobalert
27736734,1,jobalert
27736962,1,sponsored
27737038,1,jobalert
27737082,1,jobalert
27737698,1,jobalert
27737859,1,sponsored
27738242,1,jobalert
27738362,1,sponsored
27738518,1,jobalert
27738727,1,nowhere
27738740,1,jobalert
27738911,1,jobalert
27738973,1,sponsored
27739371,1,jobalert
27739384,1,nowhere
27739529,2,sponsored
27739540,2,jobalert
27739627,3,jobalert
27739643,1,sponsored
27739741,1,jobalert
27739756,1,jobalert
27739818,2,sponsored
27739933,1,jobalert
27740001,1,organic
27740258,4,sponsored
27741039,1,jobalert
27741357,1,jobalert
27741570,1,jobalert
27741596,1,sponsored
27741723,1,jobalert
27741910,2,sponsored
27742055,4,jobalert
27742065,1,jobalert
27742117,4,sponsored
27742141,1,sponsored
27742533,1,jobalert
27743105,1,sponsored
27743322,2,jobalert
27743329,8,sponsored
27743338,1,jobalert
27743368,2,jobalert
27743709,1,sponsored
27745364,1,jobalert
27745560,1,sponsored
27745995,1,sponsored
27746092,1,jobalert
